id,name,weekday
"id_1","TP.HCM","t2"
"id_2","Đồng Tháp","t2"
"id_3","Cà Mau","t2"
"id_4","Bạc Liêu","t3"
"id_5","Bến Tre","t3"
"id_6","Vũng Tàu","t3"
"id_7","Sóc Trăng","t4"
"id_8","Cần Thơ","t4"
"id_9","Đồng Nai","t4"
"id_10","Tây Ninh","t5"
"id_11","An Giang","t5"
"id_12","Bình Thuận","t5"
"id_13","Bình Dương","t6"
"id_14","Trà Vinh","t6"
"id_15","Vĩnh Long","t6"
"id_16","TP HCM","t7"
"id_17","Long An","t7"
"id_18","Bình Phước","t7"
"id_19","Hậu Giang","t7"
"id_20","Kiên Giang","cn"
"id_21","Đà Lạt","cn"
"id_22","Tiền Giang","cn"
